Timestamp,Total_invested,Total_value,Return_relative,Return_absolute
2022-11-30 19:33:21.218695,5957.84,11148.74,87.15,5191.74
2022-11-30 20:05:05.231030,5957.84,11157.75,87.3,5200.75
2022-11-30 20:31:05.573832,5957.84,11149.76,87.14,5191.92
2022-11-30 20:43:00.442822,5957.84,11141.06,87.0,5183.22
2022-11-30 20:45:27.987775,5957.84,11141.06,87.0,5183.22
2022-11-30 21:01:37.160805,5957.84,11119.76,86.64,5161.92
2022-12-01 02:05:59.947839,5957.84,11116.99,86.59,5159.15
2022-12-01 02:15:20.249616,5957.84,11115.39,86.57,5157.55
2022-12-06 06:43:09.280075,4232.6,4323.67,2.15,91.07
2022-12-06 06:56:01.186108,4232.6,4326.62,2.22,94.02
2022-12-06 07:01:57.324000,4232.6,4326.62,2.22,94.02